Customer_ID,recent,count,spent,R_Quartile,F_Quartile,M_Quartile,RCSClass
5546,262.0,1,170247,2,4,1,241
5547,252.0,4,159075,2,1,1,211
5548,311.0,4,144063,2,1,1,211
5549,236.0,3,135614,2,2,1,221
5550,346.0,4,168081,2,1,1,211
5551,70.0,1,139150,1,4,1,141
5552,234.0,4,233901,2,1,1,211
5553,337.0,3,152935,2,2,1,221
5554,178.0,3,168947,1,2,1,121
5555,247.0,3,143045,2,2,1,221
5556,165.0,2,233553,1,3,1,131
5557,167.0,2,133433,1,3,1,131
5558,142.0,4,140086,1,1,1,111
5559,274.0,1,242148,2,4,1,241
5560,227.0,1,166686,2,4,1,241
5561,104.0,3,144356,1,2,1,121
5562,197.0,1,157309,1,4,1,141
5563,305.0,4,184620,2,1,1,211
5564,37.0,3,149069,1,2,1,121
5565,75.0,3,137111,1,2,1,121
5566,354.0,3,135017,2,2,1,221
5567,150.0,4,134886,1,1,1,111
5568,308.0,3,242190,2,2,1,221
5569,165.0,4,146630,1,1,1,111
5570,15.0,3,186293,1,2,1,121
5571,346.0,2,244960,2,3,1,231
5572,55.0,3,144575,1,2,1,121
5573,234.0,1,198522,2,4,1,241
5574,309.0,1,163217,2,4,1,241
5575,133.0,1,229805,1,4,1,141
5576,228.0,4,138425,2,1,1,211
5577,65.0,2,228230,1,3,1,131
5578,346.0,3,227384,2,2,1,221
5579,301.0,2,132715,2,3,1,231
5580,37.0,3,139400,1,2,1,121
5581,256.0,3,132620,2,2,1,221
5582,316.0,2,144159,2,3,1,231
5583,331.0,3,243906,2,2,1,221
5584,65.0,2,183323,1,3,1,131
5585,39.0,2,121283,1,3,2,132
5586,110.0,2,235685,1,3,1,131
5587,345.0,1,152263,2,4,1,241
5588,345.0,1,167017,2,4,1,241
5589,11.0,3,140625,1,2,1,121
5590,326.0,3,126639,2,2,2,222
5591,339.0,3,176415,2,2,1,221
5592,73.0,3,120048,1,2,2,122
5593,168.0,4,135168,1,1,1,111
5594,121.0,1,155492,1,4,1,141
5595,357.0,1,154322,2,4,1,241
5596,115.0,1,176174,1,4,1,141
5597,74.0,1,169498,1,4,1,141
5598,227.0,1,184780,2,4,1,241
5599,292.0,2,133195,2,3,1,231
5600,318.0,3,198301,2,2,1,221
5601,329.0,4,125669,2,1,2,212
5602,6.0,3,147350,1,2,1,121
5603,289.0,2,133258,2,3,1,231
5604,310.0,1,120718,2,4,2,242
5605,219.0,2,142478,2,3,1,231
5606,180.0,3,131057,1,2,1,121
5607,266.0,4,148372,2,1,1,211
5608,40.0,4,196704,1,1,1,111
5609,358.0,4,126589,2,1,2,212
5610,247.0,1,151092,2,4,1,241
5611,207.0,2,133955,1,3,1,131
5612,208.0,1,135966,2,4,1,241
5613,152.0,2,231959,1,3,1,131
5614,273.0,2,162799,2,3,1,231
5615,49.0,3,174360,1,2,1,121
5616,72.0,1,170494,1,4,1,141
5617,13.0,3,249234,1,2,1,121
5618,247.0,1,135830,2,4,1,241
5619,360.0,1,146762,2,4,1,241
5620,326.0,1,143607,2,4,1,241
5621,346.0,2,160301,2,3,1,231
5622,298.0,3,159305,2,2,1,221
5623,166.0,4,146872,1,1,1,111
5624,21.0,3,158684,1,2,1,121
5625,100.0,3,161351,1,2,1,121
5626,254.0,4,134231,2,1,1,211
5627,189.0,1,224892,1,4,1,141
5628,105.0,2,176437,1,3,1,131
5629,340.0,2,146306,2,3,1,231
5630,238.0,3,163502,2,2,1,221
5631,114.0,2,123020,1,3,2,132
5632,359.0,2,181331,2,3,1,231
5633,224.0,4,149737,2,1,1,211
5634,248.0,1,126524,2,4,2,242
5635,199.0,2,130507,1,3,1,131
5636,307.0,2,231798,2,3,1,231
5637,44.0,3,228469,1,2,1,121
5638,237.0,2,136742,2,3,1,231
5639,361.0,4,139292,2,1,1,211
5640,16.0,1,163976,1,4,1,141
5641,95.0,4,145858,1,1,1,111
5642,239.0,2,154135,2,3,1,231
5643,85.0,1,185725,1,4,1,141
5644,228.0,3,166853,2,2,1,221
5645,237.0,2,166867,2,3,1,231
5646,304.0,1,123717,2,4,2,242
5647,46.0,3,151283,1,2,1,121
5648,351.0,4,232528,2,1,1,211
5649,234.0,3,142652,2,2,1,221
5650,206.0,4,151349,1,1,1,111
5651,333.0,2,149747,2,3,1,231
5652,40.0,3,141746,1,2,1,121
5653,310.0,1,168632,2,4,1,241
5654,169.0,2,230152,1,3,1,131
5655,296.0,1,135201,2,4,1,241
5656,146.0,3,157169,1,2,1,121
5657,221.0,2,136006,2,3,1,231
5658,347.0,3,130633,2,2,1,221
5659,279.0,1,134346,2,4,1,241
5660,126.0,4,133468,1,1,1,111
5661,240.0,2,191918,2,3,1,231
5662,344.0,1,144759,2,4,1,241
5663,287.0,3,146094,2,2,1,221
5664,112.0,4,221613,1,1,1,111
5665,261.0,3,130339,2,2,1,221
5666,296.0,4,145353,2,1,1,211
5667,219.0,3,155961,2,2,1,221
5668,10.0,4,158384,1,1,1,111
5669,270.0,3,160806,2,2,1,221
5670,338.0,1,222291,2,4,1,241
5671,207.0,1,171277,1,4,1,141
5672,206.0,2,122035,1,3,2,132
5673,332.0,3,143291,2,2,1,221
5674,238.0,3,132462,2,2,1,221
5675,135.0,4,168218,1,1,1,111
5676,308.0,2,179626,2,3,1,231
5677,52.0,3,235738,1,2,1,121
5678,247.0,2,149444,2,3,1,231
5679,311.0,3,166814,2,2,1,221
5680,179.0,4,179097,1,1,1,111
5681,151.0,4,120531,1,1,2,112
5682,305.0,2,182570,2,3,1,231
5683,209.0,1,155578,2,4,1,241
5684,10.0,4,163549,1,1,1,111
5685,250.0,1,185382,2,4,1,241
5686,340.0,1,168929,2,4,1,241
5687,296.0,2,126548,2,3,2,232
5688,167.0,3,153418,1,2,1,121
5689,37.0,2,139312,1,3,1,131
5690,176.0,2,189026,1,3,1,131
5691,283.0,3,140924,2,2,1,221
5692,266.0,1,157648,2,4,1,241
5693,358.0,2,158329,2,3,1,231
5694,232.0,3,230662,2,2,1,221
5695,78.0,2,127704,1,3,2,132
5696,166.0,3,141143,1,2,1,121
5697,265.0,1,133289,2,4,1,241
5698,40.0,1,155249,1,4,1,141
5699,364.0,4,172441,2,1,1,211
5700,170.0,2,166348,1,3,1,131
5701,16.0,3,168819,1,2,1,121
5702,40.0,1,123351,1,4,2,142
5703,100.0,4,129614,1,1,1,111
5704,83.0,4,164417,1,1,1,111
5705,129.0,2,134964,1,3,1,131
5706,163.0,4,143626,1,1,1,111
5707,212.0,4,142517,2,1,1,211
5708,292.0,3,142513,2,2,1,221
5709,118.0,3,244382,1,2,1,121
5710,333.0,4,189586,2,1,1,211
5711,315.0,3,133799,2,2,1,221
5712,33.0,3,166426,1,2,1,121
5713,359.0,4,129101,2,1,2,212
5714,30.0,2,154769,1,3,1,131
5715,282.0,4,150858,2,1,1,211
5716,20.0,1,140697,1,4,1,141
5717,46.0,4,129415,1,1,1,111
5718,159.0,1,186629,1,4,1,141
5719,323.0,4,154376,2,1,1,211
5720,76.0,1,153607,1,4,1,141
5721,147.0,3,221012,1,2,1,121
5722,192.0,3,127729,1,2,2,122
5723,187.0,4,232507,1,1,1,111
5724,289.0,4,145986,2,1,1,211
5725,111.0,2,156486,1,3,1,131
5726,307.0,2,142770,2,3,1,231
5727,321.0,3,240260,2,2,1,221
5728,165.0,1,142134,1,4,1,141
5729,81.0,3,158608,1,2,1,121
5730,206.0,2,156037,1,3,1,131
5731,109.0,1,168421,1,4,1,141
5732,125.0,3,172723,1,2,1,121
5733,352.0,1,168772,2,4,1,241
5734,186.0,4,121139,1,1,2,112
5735,112.0,2,238886,1,3,1,131
5736,140.0,2,162939,1,3,1,131
5737,97.0,1,147741,1,4,1,141
5738,152.0,2,122526,1,3,2,132
5739,269.0,3,152078,2,2,1,221
5740,166.0,4,183840,1,1,1,111
5741,187.0,1,198816,1,4,1,141
5742,188.0,3,157811,1,2,1,121
5743,177.0,4,151384,1,1,1,111
5744,299.0,1,187363,2,4,1,241
5745,364.0,1,131822,2,4,1,241
5746,223.0,4,190132,2,1,1,211
5747,342.0,1,224447,2,4,1,241
5748,117.0,4,129623,1,1,1,111
5749,315.0,2,153954,2,3,1,231
5750,157.0,4,221546,1,1,1,111
5751,90.0,3,152488,1,2,1,121
5752,193.0,2,232896,1,3,1,131
5753,228.0,2,158188,2,3,1,231
5754,361.0,3,121764,2,2,2,222
5755,160.0,3,155653,1,2,1,121
5756,101.0,3,129876,1,2,1,121
5757,21.0,2,228329,1,3,1,131
5758,305.0,4,123710,2,1,2,212
5759,37.0,1,180747,1,4,1,141
5760,238.0,2,134449,2,3,1,231
5761,345.0,2,137787,2,3,1,231
5762,141.0,4,233355,1,1,1,111
5763,161.0,3,225941,1,2,1,121
5764,99.0,1,154438,1,4,1,141
5765,112.0,1,244419,1,4,1,141
5766,306.0,3,127206,2,2,2,222
5767,87.0,3,160090,1,2,1,121
5768,158.0,1,127555,1,4,2,142
5769,344.0,4,136985,2,1,1,211
5770,54.0,3,169074,1,2,1,121
5771,68.0,4,151399,1,1,1,111
5772,37.0,4,158423,1,1,1,111
5773,288.0,1,145560,2,4,1,241
5774,20.0,4,147575,1,1,1,111
5775,351.0,1,123473,2,4,2,242
5776,207.0,2,146482,1,3,1,131
5777,30.0,1,143217,1,4,1,141
5778,339.0,2,237114,2,3,1,231
5779,44.0,3,149755,1,2,1,121
5780,126.0,2,121546,1,3,2,132
5781,302.0,1,154006,2,4,1,241
5782,346.0,3,127525,2,2,2,222
5783,53.0,2,153477,1,3,1,131
5784,94.0,3,120902,1,2,2,122
5785,182.0,1,228195,1,4,1,141
5786,174.0,2,160685,1,3,1,131
5787,156.0,2,157739,1,3,1,131
5788,134.0,2,176774,1,3,1,131
5789,307.0,3,149635,2,2,1,221
5790,316.0,2,155674,2,3,1,231
5791,308.0,3,143408,2,2,1,221
5792,200.0,3,222211,1,2,1,121
5793,349.0,3,184305,2,2,1,221
5794,67.0,4,154718,1,1,1,111
5795,148.0,4,165432,1,1,1,111
5796,46.0,2,148827,1,3,1,131
5797,322.0,4,124946,2,1,2,212
5798,75.0,1,123411,1,4,2,142
5799,144.0,2,246509,1,3,1,131
5800,348.0,3,122778,2,2,2,222
5801,169.0,2,236667,1,3,1,131
5802,53.0,4,186973,1,1,1,111
5803,132.0,3,151954,1,2,1,121
5804,24.0,2,150076,1,3,1,131
5805,36.0,1,142581,1,4,1,141
5806,140.0,1,123843,1,4,2,142
5807,186.0,3,136837,1,2,1,121
5808,170.0,1,138022,1,4,1,141
5809,68.0,1,183257,1,4,1,141
5810,169.0,4,132275,1,1,1,111
5811,323.0,1,154188,2,4,1,241
5812,308.0,1,143793,2,4,1,241
5813,114.0,4,173891,1,1,1,111
5814,361.0,4,150412,2,1,1,211
5815,231.0,3,134623,2,2,1,221
5816,152.0,4,149160,1,1,1,111
5817,158.0,1,161232,1,4,1,141
5818,322.0,3,235237,2,2,1,221
5819,20.0,1,162153,1,4,1,141
5820,52.0,2,158367,1,3,1,131
5821,157.0,4,153505,1,1,1,111
5822,15.0,3,156649,1,2,1,121
5823,95.0,3,173380,1,2,1,121
5824,316.0,3,122170,2,2,2,222
5825,162.0,1,197032,1,4,1,141
5826,107.0,1,149026,1,4,1,141
5827,268.0,1,176534,2,4,1,241
5828,115.0,1,124744,1,4,2,142
5829,56.0,2,186133,1,3,1,131
5830,50.0,3,160486,1,2,1,121
5831,235.0,1,237357,2,4,1,241
5832,4.0,4,138720,1,1,1,111
5833,263.0,4,136992,2,1,1,211
5834,298.0,1,162593,2,4,1,241
5835,131.0,3,145086,1,2,1,121
5836,168.0,2,121672,1,3,2,132
5837,135.0,2,166383,1,3,1,131
5838,325.0,1,128652,2,4,2,242
5839,126.0,1,124914,1,4,2,142
5840,218.0,4,140265,2,1,1,211
5841,145.0,4,122285,1,1,2,112
5842,115.0,4,173113,1,1,1,111
5843,58.0,2,170914,1,3,1,131
5844,100.0,1,125656,1,4,2,142
5845,187.0,3,125990,1,2,2,122
5846,235.0,1,130905,2,4,1,241
5847,322.0,2,168196,2,3,1,231
5848,146.0,3,169445,1,2,1,121
5849,85.0,2,146072,1,3,1,131
5850,323.0,1,144353,2,4,1,241
5851,168.0,3,247332,1,2,1,121
5852,130.0,4,150148,1,1,1,111
5853,239.0,4,158708,2,1,1,211
5854,15.0,1,147535,1,4,1,141
5855,242.0,3,157431,2,2,1,221
5856,53.0,1,133723,1,4,1,141
5857,110.0,3,157807,1,2,1,121
5858,48.0,3,126574,1,2,2,122
5859,247.0,3,152174,2,2,1,221
5860,169.0,3,161473,1,2,1,121
5861,327.0,1,176784,2,4,1,241
5862,213.0,4,179487,2,1,1,211
5863,300.0,4,193152,2,1,1,211
5864,108.0,1,150215,1,4,1,141
5865,26.0,2,173219,1,3,1,131
5866,255.0,2,148052,2,3,1,231
5867,330.0,3,186013,2,2,1,221
5868,319.0,3,129392,2,2,1,221
5869,171.0,1,246168,1,4,1,141
5870,225.0,2,249284,2,3,1,231
5871,24.0,4,226871,1,1,1,111
5872,18.0,2,221355,1,3,1,131
5873,323.0,3,144883,2,2,1,221
5874,194.0,3,140136,1,2,1,121
5875,45.0,4,172175,1,1,1,111
5876,94.0,1,143337,1,4,1,141
5877,135.0,3,165563,1,2,1,121
5878,23.0,3,244835,1,2,1,121
5879,85.0,1,153656,1,4,1,141
5880,133.0,1,243331,1,4,1,141
5881,357.0,1,165364,2,4,1,241
5882,159.0,1,123231,1,4,2,142
5883,301.0,2,241419,2,3,1,231
5884,54.0,2,142394,1,3,1,131
5885,165.0,4,164012,1,1,1,111
5886,364.0,2,142894,2,3,1,231
5887,288.0,2,228421,2,3,1,231
5888,284.0,1,128252,2,4,2,242
5889,151.0,2,125751,1,3,2,132
5890,169.0,3,120098,1,2,2,122
5891,274.0,1,141337,2,4,1,241
5892,273.0,3,198120,2,2,1,221
5893,58.0,1,196448,1,4,1,141
5894,45.0,2,123073,1,3,2,132
5895,45.0,2,120735,1,3,2,132
5896,309.0,1,129989,2,4,1,241
5897,342.0,2,168287,2,3,1,231
5898,79.0,2,135129,1,3,1,131
5899,220.0,1,224406,2,4,1,241
5900,118.0,3,159203,1,2,1,121
5901,252.0,2,173644,2,3,1,231
5902,349.0,4,243720,2,1,1,211
5903,94.0,2,178049,1,3,1,131
5904,361.0,4,176276,2,1,1,211
5905,319.0,2,140545,2,3,1,231
5906,78.0,4,133947,1,1,1,111
5907,370.0,2,133027,2,3,1,231
5908,523.0,3,163127,3,2,1,321
5909,712.0,3,183904,3,2,1,321
5910,606.0,3,148841,3,2,1,321
5911,516.0,2,142295,3,3,1,331
5912,509.0,2,139476,3,3,1,331
5913,612.0,3,168860,3,2,1,321
5914,612.0,2,150917,3,3,1,331
5915,444.0,1,159676,3,4,1,341
5916,455.0,3,148630,3,2,1,321
5917,447.0,4,156940,3,1,1,311
5918,708.0,3,147776,3,2,1,321
5919,403.0,2,150942,2,3,1,231
5920,472.0,4,166553,3,1,1,311
5921,456.0,3,161839,3,2,1,321
5922,433.0,4,124340,2,1,2,212
5923,442.0,3,132845,3,2,1,321
5924,512.0,4,191739,3,1,1,311
5925,410.0,4,179977,2,1,1,211
5926,501.0,2,126121,3,3,2,332
5927,414.0,1,159871,2,4,1,241
5928,593.0,1,131854,3,4,1,341
5929,411.0,2,137727,2,3,1,231
5930,370.0,4,158980,2,1,1,211
5931,502.0,3,155883,3,2,1,321
5932,691.0,2,167265,3,3,1,331
5933,495.0,3,221491,3,2,1,321
5934,559.0,4,125621,3,1,2,312
5935,543.0,2,161360,3,3,1,331
5936,454.0,2,150410,3,3,1,331
5937,383.0,2,145341,2,3,1,231
5938,654.0,4,198848,3,1,1,311
5939,403.0,2,233169,2,3,1,231
5940,590.0,3,121006,3,2,2,322
5941,380.0,1,142838,2,4,1,241
5942,380.0,3,132199,2,2,1,221
5943,446.0,4,136487,3,1,1,311
5944,602.0,4,163398,3,1,1,311
5945,616.0,3,140752,3,2,1,321
5946,523.0,1,162201,3,4,1,341
5947,375.0,4,140765,2,1,1,211
5948,652.0,3,124570,3,2,2,322
5949,505.0,4,131991,3,1,1,311
5950,470.0,4,136524,3,1,1,311
5951,425.0,2,134211,2,3,1,231
5952,398.0,1,129573,2,4,1,241
5953,389.0,3,146492,2,2,1,221
5954,406.0,2,139765,2,3,1,231
5955,533.0,4,159251,3,1,1,311
5956,499.0,1,163470,3,4,1,341
5957,691.0,3,137991,3,2,1,321
5958,491.0,3,136797,3,2,1,321
5959,538.0,2,192057,3,3,1,331
5960,388.0,2,133356,2,3,1,231
5961,673.0,4,173705,3,1,1,311
5962,413.0,2,135011,2,3,1,231
5963,504.0,1,169532,3,4,1,341
5964,376.0,2,151496,2,3,1,231
5965,512.0,4,159530,3,1,1,311
5966,714.0,1,143615,3,4,1,341
5967,408.0,1,145487,2,4,1,241
5968,717.0,4,138045,3,1,1,311
5969,723.0,2,138823,3,3,1,331
5970,402.0,3,126100,2,2,2,222
5971,400.0,3,149247,2,2,1,221
5972,401.0,4,189447,2,1,1,211
5973,508.0,1,120028,3,4,2,342
5974,502.0,4,151622,3,1,1,311
5975,564.0,3,132376,3,2,1,321
5976,707.0,3,145201,3,2,1,321
5977,615.0,4,169242,3,1,1,311
5978,531.0,2,168815,3,3,1,331
5979,706.0,1,164008,3,4,1,341
5980,668.0,1,151189,3,4,1,341
5981,669.0,4,177982,3,1,1,311
5982,590.0,3,135404,3,2,1,321
5983,441.0,3,129720,3,2,1,321
5984,442.0,2,129721,3,3,1,331
5985,498.0,3,147237,3,2,1,321
5986,500.0,3,161701,3,2,1,321
5987,662.0,2,155254,3,3,1,331
5988,389.0,4,164162,2,1,1,211
5989,410.0,1,142207,2,4,1,241
5990,521.0,2,161304,3,3,1,331
5991,547.0,1,132967,3,4,1,341
5992,679.0,3,135678,3,2,1,321
5993,523.0,3,142456,3,2,1,321
5994,683.0,4,132743,3,1,1,311
5995,376.0,3,152748,2,2,1,221
5996,542.0,3,167038,3,2,1,321
5997,553.0,2,153012,3,3,1,331
5998,571.0,3,158181,3,2,1,321
5999,371.0,4,164754,2,1,1,211
6000,404.0,2,126233,2,3,2,232
6001,612.0,3,133937,3,2,1,321
6002,480.0,3,148462,3,2,1,321
6003,674.0,1,126335,3,4,2,342
6004,465.0,1,152911,3,4,1,341
6005,597.0,1,159591,3,4,1,341
6006,532.0,1,143985,3,4,1,341
6007,379.0,2,163845,2,3,1,231
6008,463.0,2,186482,3,3,1,331
6009,629.0,2,162520,3,3,1,331
6010,491.0,4,148676,3,1,1,311
6011,452.0,2,167457,3,3,1,331
6012,572.0,1,127504,3,4,2,342
6013,680.0,3,127341,3,2,2,322
6014,633.0,1,137442,3,4,1,341
6015,616.0,4,137621,3,1,1,311
6016,698.0,3,143253,3,2,1,321
6017,407.0,1,145922,2,4,1,241
6018,622.0,3,161536,3,2,1,321
6019,466.0,3,131932,3,2,1,321
6020,714.0,3,149622,3,2,1,321
6021,493.0,1,134458,3,4,1,341
6022,685.0,2,130386,3,3,1,331
6023,681.0,2,150818,3,3,1,331
6024,622.0,2,185307,3,3,1,331
6025,599.0,4,128091,3,1,2,312
6026,531.0,2,141332,3,3,1,331
6027,711.0,1,131013,3,4,1,341
6028,455.0,1,151995,3,4,1,341
6029,703.0,2,169144,3,3,1,331
6030,385.0,4,163737,2,1,1,211
6031,498.0,4,155751,3,1,1,311
6032,439.0,3,142624,2,2,1,221
6033,660.0,2,167785,3,3,1,331
6034,415.0,3,166575,2,2,1,221
6035,497.0,4,158867,3,1,1,311
6036,634.0,2,134597,3,3,1,331
6037,630.0,2,174847,3,3,1,331
6038,674.0,2,137047,3,3,1,331
6039,635.0,3,125743,3,2,2,322
6040,660.0,1,123785,3,4,2,342
6041,656.0,1,150553,3,4,1,341
6042,531.0,1,158681,3,4,1,341
6043,650.0,2,121819,3,3,2,332
6044,400.0,4,134335,2,1,1,211
6045,713.0,3,198435,3,2,1,321
6046,409.0,2,121577,2,3,2,232
6047,572.0,3,142490,3,2,1,321
6048,436.0,2,135917,2,3,1,231
6049,368.0,1,122751,2,4,2,242
6050,503.0,2,129621,3,3,1,331
6051,603.0,4,125204,3,1,2,312
6052,592.0,4,144634,3,1,1,311
6053,632.0,4,120728,3,1,2,312
6054,522.0,1,162647,3,4,1,341
6055,576.0,1,165712,3,4,1,341
6056,704.0,4,141353,3,1,1,311
6057,471.0,4,165398,3,1,1,311
6058,472.0,2,166105,3,3,1,331
6059,676.0,4,147708,3,1,1,311
6060,702.0,4,135893,3,1,1,311
6061,446.0,4,124678,3,1,2,312
6062,670.0,1,159660,3,4,1,341
6063,483.0,3,142675,3,2,1,321
6064,622.0,3,154503,3,2,1,321
6065,447.0,1,224037,3,4,1,341
6066,717.0,4,167002,3,1,1,311
6067,530.0,4,156744,3,1,1,311
6068,655.0,4,136433,3,1,1,311
6069,593.0,2,144368,3,3,1,331
6070,635.0,4,152319,3,1,1,311
6071,686.0,4,164073,3,1,1,311
6072,561.0,4,135081,3,1,1,311
6073,588.0,1,183402,3,4,1,341
6074,584.0,4,151204,3,1,1,311
6075,702.0,2,125822,3,3,2,332
6076,529.0,4,139937,3,1,1,311
6077,655.0,3,155336,3,2,1,321
6078,707.0,1,120035,3,4,2,342
6079,480.0,1,160103,3,4,1,341
6080,511.0,3,124921,3,2,2,322
6081,408.0,4,162087,2,1,1,211
6082,394.0,4,244021,2,1,1,211
6083,544.0,3,158467,3,2,1,321
6084,653.0,3,156523,3,2,1,321
6085,573.0,2,137469,3,3,1,331
6086,498.0,4,154154,3,1,1,311
6087,702.0,1,125504,3,4,2,342
6088,650.0,4,166777,3,1,1,311
6089,704.0,2,158884,3,3,1,331
6090,569.0,1,143051,3,4,1,341
6091,689.0,1,166129,3,4,1,341
6092,527.0,4,139542,3,1,1,311
6093,568.0,3,194634,3,2,1,321
6094,387.0,2,150518,2,3,1,231
6095,467.0,2,136647,3,3,1,331
6096,668.0,2,168609,3,3,1,331
6097,525.0,3,161385,3,2,1,321
6098,459.0,1,135820,3,4,1,341
6099,728.0,3,121998,3,2,2,322
6100,476.0,3,221741,3,2,1,321
6101,542.0,3,185088,3,2,1,321
6102,620.0,3,135092,3,2,1,321
6103,600.0,4,246925,3,1,1,311
6104,668.0,1,144319,3,4,1,341
6105,664.0,2,128971,3,3,2,332
6106,515.0,2,138043,3,3,1,331
6107,583.0,1,172547,3,4,1,341
6108,724.0,3,147044,3,2,1,321
6109,499.0,3,139663,3,2,1,321
6110,541.0,3,148086,3,2,1,321
6111,609.0,3,139735,3,2,1,321
6112,449.0,4,143729,3,1,1,311
6113,577.0,1,129594,3,4,1,341
6114,414.0,4,138286,2,1,1,211
6115,533.0,1,136709,3,4,1,341
6116,633.0,4,121082,3,1,2,312
6117,383.0,4,133104,2,1,1,211
6118,616.0,3,167254,3,2,1,321
6119,479.0,2,142759,3,3,1,331
6120,568.0,1,245160,3,4,1,341
6121,400.0,3,197999,2,2,1,221
6122,461.0,1,148547,3,4,1,341
6123,372.0,1,131018,2,4,1,241
6124,661.0,2,179072,3,3,1,331
6125,403.0,4,134173,2,1,1,211
6126,568.0,1,158363,3,4,1,341
6127,470.0,4,140361,3,1,1,311
6128,470.0,2,149304,3,3,1,331
6129,452.0,2,137468,3,3,1,331
6130,480.0,4,177912,3,1,1,311
6131,634.0,4,154991,3,1,1,311
6132,645.0,2,138396,3,3,1,331
6133,449.0,3,164211,3,2,1,321
6134,385.0,2,126870,2,3,2,232
6135,858.0,2,121807,4,3,2,432
6136,858.0,2,177113,4,3,1,431
6137,831.0,4,133624,4,1,1,411
6138,995.0,2,138993,4,3,1,431
6139,1019.0,3,137725,4,2,1,421
6140,1071.0,2,134527,4,3,1,431
6141,1034.0,2,133936,4,3,1,431
6142,755.0,2,145913,3,3,1,331
6143,781.0,2,161201,4,3,1,431
6144,907.0,1,126442,4,4,2,442
6145,743.0,4,158794,3,1,1,311
6146,745.0,2,143475,3,3,1,331
6147,989.0,1,158802,4,4,1,441
6148,849.0,2,229846,4,3,1,431
6149,778.0,2,161987,4,3,1,431
6150,1074.0,1,168773,4,4,1,441
6151,1060.0,3,131936,4,2,1,421
6152,1083.0,1,130446,4,4,1,441
6153,1072.0,2,123362,4,3,2,432
6154,994.0,3,124012,4,2,2,422
6155,1041.0,1,133241,4,4,1,441
6156,955.0,3,163900,4,2,1,421
6157,782.0,3,148807,4,2,1,421
6158,971.0,4,121675,4,1,2,412
6159,821.0,2,148683,4,3,1,431
6160,1003.0,1,162315,4,4,1,441
6161,805.0,3,160413,4,2,1,421
6162,802.0,4,190745,4,1,1,411
6163,1015.0,4,167088,4,1,1,411
6164,996.0,2,149022,4,3,1,431
6165,777.0,4,136161,4,1,1,411
6166,938.0,4,180437,4,1,1,411
6167,952.0,4,148537,4,1,1,411
6168,748.0,1,135948,3,4,1,341
6169,865.0,2,127496,4,3,2,432
6170,837.0,4,160375,4,1,1,411
6171,1010.0,4,145824,4,1,1,411
6172,1077.0,3,143249,4,2,1,421
6173,1043.0,4,125179,4,1,2,412
6174,774.0,4,143960,4,1,1,411
6175,1063.0,3,154677,4,2,1,421
6176,763.0,4,165631,3,1,1,311
6177,772.0,3,160271,4,2,1,421
6178,952.0,3,166845,4,2,1,421
6179,780.0,2,120386,4,3,2,432
6180,746.0,4,143680,3,1,1,311
6181,876.0,4,129187,4,1,1,411
6182,965.0,2,152761,4,3,1,431
6183,795.0,2,140432,4,3,1,431
6184,968.0,3,129689,4,2,1,421
6185,989.0,1,147144,4,4,1,441
6186,751.0,2,149147,3,3,1,331
6187,1033.0,4,146390,4,1,1,411
6188,771.0,3,166693,4,2,1,421
6189,991.0,1,139169,4,4,1,441
6190,1050.0,4,130422,4,1,1,411
